"icao24","firstseen_datetime","origin","lastseen_datetime","destination","callsign","duration_hours","departure_distance_km","arrival_distance_km","flight_date"
"896366","2026-01-15 08:18:31.000 Asia/Muscat","OMSJ","2026-01-15 08:44:10.000 Asia/Muscat","","ABY305  ","0.4","1.500000","","2026-01-15 04:00:00.000 Asia/Muscat"
"8963a1","2026-01-15 08:18:37.000 Asia/Muscat","OMDW","2026-01-15 15:30:54.000 Asia/Muscat","RCTP","UAE9868 ","7.2","2.400000","4.500000","2026-01-15 04:00:00.000 Asia/Muscat"
"896175","2026-01-15 08:20:07.000 Asia/Muscat","VOCI","2026-01-15 11:59:57.000 Asia/Muscat","OMDB","UAE531  ","3.7","0.600000","5.400000","2026-01-15 04:00:00.000 Asia/Muscat"
"896519","2026-01-15 08:20:33.000 Asia/Muscat","OMDW","2026-01-15 09:52:08.000 Asia/Muscat","OMDW","EFC988A ","1.5","3.900000","2.900000","2026-01-15 04:00:00.000 Asia/Muscat"
"06e005","2026-01-15 08:20:53.000 Asia/Muscat","","2026-01-15 08:50:29.000 Asia/Muscat","OMDB","","0.5","","4.800000","2026-01-15 04:00:00.000 Asia/Muscat"
"7100a8","2026-01-15 08:20:55.000 Asia/Muscat","","2026-01-15 09:16:56.000 Asia/Muscat","OMDB","SVA566  ","0.9","","4.800000","2026-01-15 04:00:00.000 Asia/Muscat"
"896559","2026-01-15 08:20:55.000 Asia/Muscat","OMSJ","2026-01-15 13:52:23.000 Asia/Muscat","VTBS","ABY816  ","5.5","1.800000","3.700000","2026-01-15 04:00:00.000 Asia/Muscat"
"89656c","2026-01-15 08:21:14.000 Asia/Muscat","OMDB","2026-01-15 14:28:53.000 Asia/Muscat","EPKK","FDB4GA  ","6.1","2.600000","5.300000","2026-01-15 04:00:00.000 Asia/Muscat"
"89660c","2026-01-15 08:22:22.000 Asia/Muscat","OMDB","2026-01-15 15:46:58.000 Asia/Muscat","OMDB","FDB9HC  ","7.4","1.900000","4.800000","2026-01-15 04:00:00.000 Asia/Muscat"
"89642e","2026-01-15 08:22:31.000 Asia/Muscat","OMSJ","2026-01-15 09:11:26.000 Asia/Muscat","OBBI","ABY101  ","0.8","1.200000","26.900000","2026-01-15 04:00:00.000 Asia/Muscat"
"8965c1","2026-01-15 08:23:31.000 Asia/Muscat","OMDB","2026-01-15 14:59:29.000 Asia/Muscat","LIRP","FDB85W  ","6.6","2.600000","21.400000","2026-01-15 04:00:00.000 Asia/Muscat"
"896643","2026-01-15 08:24:34.000 Asia/Muscat","OMDB","2026-01-15 10:27:24.000 Asia/Muscat","OPMT","FDB9XK  ","2.0","2.800000","1.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"89668b","2026-01-15 08:25:20.000 Asia/Muscat","OMSJ","2026-01-15 10:18:48.000 Asia/Muscat","","ABY556  ","1.9","1.600000","","2026-01-15 04:00:00.000 Asia/Muscat"
"89660a","2026-01-15 08:25:32.000 Asia/Muscat","OMDB","2026-01-15 11:59:21.000 Asia/Muscat","UGTB","FDB4XN  ","3.6","2.700000","0.900000","2026-01-15 04:00:00.000 Asia/Muscat"
"896620","2026-01-15 08:26:32.000 Asia/Muscat","OMDB","2026-01-15 09:18:26.000 Asia/Muscat","OEDR","UAE827  ","0.9","1.500000","7.400000","2026-01-15 04:00:00.000 Asia/Muscat"
"896621","2026-01-15 08:28:05.000 Asia/Muscat","OMDB","2026-01-15 15:35:55.000 Asia/Muscat","ENGM","UAE63Q  ","7.1","2.800000","3.400000","2026-01-15 04:00:00.000 Asia/Muscat"
"8966b0","2026-01-15 08:28:18.000 Asia/Muscat","OMSJ","2026-01-15 15:36:57.000 Asia/Muscat","OMSJ","ABY244  ","7.1","1.600000","2.400000","2026-01-15 04:00:00.000 Asia/Muscat"
"896218","2026-01-15 08:28:45.000 Asia/Muscat","","2026-01-15 13:07:47.000 Asia/Muscat","OMDB","UAE89V  ","4.7","","4.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"89611a","2026-01-15 08:29:07.000 Asia/Muscat","OMDB","2026-01-15 20:58:44.000 Asia/Muscat","GOBD","UAE797  ","12.5","2.600000","1.700000","2026-01-15 04:00:00.000 Asia/Muscat"
"89620f","2026-01-15 08:30:14.000 Asia/Muscat","OMDB","2026-01-15 11:24:22.000 Asia/Muscat","","UAE26K  ","2.9","2.800000","","2026-01-15 04:00:00.000 Asia/Muscat"
"800cc8","2026-01-15 08:30:55.000 Asia/Muscat","VOCI","2026-01-15 12:13:06.000 Asia/Muscat","OMDB","AIC2247 ","3.7","0.600000","4.600000","2026-01-15 04:00:00.000 Asia/Muscat"
"89617c","2026-01-15 08:31:13.000 Asia/Muscat","OMDB","2026-01-15 08:51:49.000 Asia/Muscat","","UAE709  ","0.3","2.400000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896503","2026-01-15 08:31:20.000 Asia/Muscat","OMSJ","2026-01-15 14:36:57.000 Asia/Muscat","EPKK","ABY730  ","6.1","1.500000","8.700000","2026-01-15 04:00:00.000 Asia/Muscat"
"896312","2026-01-15 08:32:14.000 Asia/Muscat","OMDB","2026-01-15 14:29:21.000 Asia/Muscat","EPWA","UAE98X  ","6.0","2.400000","1.500000","2026-01-15 04:00:00.000 Asia/Muscat"
"89621a","2026-01-15 08:33:57.000 Asia/Muscat","","2026-01-15 12:06:14.000 Asia/Muscat","OMDB","UAE545  ","3.5","","4.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"8964cf","2026-01-15 08:34:03.000 Asia/Muscat","OMDB","2026-01-15 14:36:28.000 Asia/Muscat","","FDB3UM  ","6.0","1.700000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896376","2026-01-15 08:35:33.000 Asia/Muscat","OMDB","2026-01-15 10:33:05.000 Asia/Muscat","","FDB353  ","2.0","3.400000","","2026-01-15 04:00:00.000 Asia/Muscat"
"738443","2026-01-15 08:36:09.000 Asia/Muscat","LLBG","2026-01-15 11:07:50.000 Asia/Muscat","OMDB","AIZ603  ","2.5","1.000000","4.800000","2026-01-15 04:00:00.000 Asia/Muscat"
"801792","2026-01-15 08:36:18.000 Asia/Muscat","VAJJ","2026-01-15 11:16:47.000 Asia/Muscat","OMDB","IGO58V  ","2.7","6.900000","6.700000","2026-01-15 04:00:00.000 Asia/Muscat"
"8963cf","2026-01-15 08:36:48.000 Asia/Muscat","OMAA","2026-01-15 09:24:29.000 Asia/Muscat","","ETD553  ","0.8","14.900000","","2026-01-15 04:00:00.000 Asia/Muscat"
"896483","2026-01-15 08:36:48.000 Asia/Muscat","OMDB","2026-01-15 16:09:21.000 Asia/Muscat","EGBB","UAE39   ","7.5","3.300000","2.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"89652d","2026-01-15 08:37:08.000 Asia/Muscat","OMSJ","2026-01-15 22:17:29.000 Asia/Muscat","OMSJ","ABY715  ","13.7","1.600000","2.500000","2026-01-15 04:00:00.000 Asia/Muscat"
"896522","2026-01-15 08:37:17.000 Asia/Muscat","OMFJ","2026-01-15 09:36:05.000 Asia/Muscat","OMDW","EFC861K ","1.0","4.900000","3.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"896187","2026-01-15 08:37:56.000 Asia/Muscat","OMDB","2026-01-15 11:51:29.000 Asia/Muscat","","UAE1EW  ","3.2","2.300000","","2026-01-15 04:00:00.000 Asia/Muscat"
"738057","2026-01-15 08:39:14.000 Asia/Muscat","LLBG","2026-01-15 11:13:22.000 Asia/Muscat","OMDB","ELY971  ","2.6","0.600000","4.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"8960fb","2026-01-15 08:39:20.000 Asia/Muscat","OMDB","2026-01-15 15:57:52.000 Asia/Muscat","EGKK","UAE7ER  ","7.3","3.100000","0.400000","2026-01-15 04:00:00.000 Asia/Muscat"
"800b30","2026-01-15 08:40:10.000 Asia/Muscat","VIDP","2026-01-15 15:04:25.000 Asia/Muscat","OMDB","AXB1294 ","6.4","1.900000","4.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"896474","2026-01-15 08:41:07.000 Asia/Muscat","OMDB","2026-01-15 16:10:24.000 Asia/Muscat","EGLL","UAE1    ","7.5","3.300000","2.200000","2026-01-15 04:00:00.000 Asia/Muscat"
"896434","2026-01-15 08:41:52.000 Asia/Muscat","OMSJ","2026-01-15 09:39:26.000 Asia/Muscat","","ABY124  ","1.0","1.200000","","2026-01-15 04:00:00.000 Asia/Muscat"
"71c572","2026-01-15 08:42:07.000 Asia/Muscat","","2026-01-15 18:55:14.000 Asia/Muscat","OMDB","KAL951  ","10.2","","4.000000","2026-01-15 04:00:00.000 Asia/Muscat"
